product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-22;2025-05-28;10
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-22;2025-05-28;15
P020;spaghetti nr.5;Barilla;500;g;paste făinoase;2025-05-24;2025-05-30;20
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-25;2025-05-31;12
P011;pâine albă;Lidl;500;g;panificație;2025-05-23;2025-05-29;5
P014;roșii cherry;Lidl;250;g;legume și fructe;2025-05-23;2025-05-29;8
P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-05-27;2025-06-02;25
P040;șampon păr gras;Head & Shoulders;400;ml;îngrijire personală;2025-05-26;2025-06-01;15
P049;vin alb demisec;Jidvei;0.75;l;băuturi;2025-05-22;2025-05-28;10
P052;ciocolată neagră 70%;Fin Carre;100;g;gustări;2025-05-24;2025-05-30;18
P024;apă plată;Aqua Carpatica;2;l;băuturi;2025-05-22;2025-05-28;5
P005;ouă mărimea M;Lidl;10;buc;ouă;2025-05-25;2025-05-31;7
P017;piept pui;Lidl;1;kg;carne;2025-05-23;2025-05-20;6
P028;ulei floarea-soarelui;Bunica;1;l;alimente de bază;2025-05-26;2025-06-01;10
P046;piper negru măcinat;Kotanyi;50;g;condimente;2025-05-27;2025-06-02;12
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-05-25;2025-05-30;9
P043;hârtie igienică 3 straturi;Zewa;10;role;produse de menaj;2025-05-24;2025-05-30;14
P026;banane;Lidl;1;kg;legume și fructe;2025-05-27;2025-06-02;6
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-05-26;2025-06-01;11
P014;roșii cherry;Lidl;250;g;legume și fructe;2025-05-27;2025-06-02;5
