product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P001;lapte zuzu;Zuzu;1;l;lactate;2025-05-22;2025-05-28;8
P010;brânză telemea;Proxi;0.3;kg;lactate;2025-05-22;2025-05-28;12
P019;piept pui;Avicola;1;kg;carne;2025-05-23;2025-05-29;10
P024;apă plată;Aqua Carpatica;2;l;băuturi;2025-05-24;2025-05-30;5
P036;cafea măcinată;Tchibo;0.25;kg;cafea;2025-05-25;2025-05-31;15
P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-05-22;2025-05-28;20
P042;șampon păr gras;Schauma;400;ml;îngrijire personală;2025-05-23;2025-05-29;10
P054;ciocolată neagră 70%;Poiana;100;g;gustări;2025-05-24;2025-05-30;10
P007;ouă mărimea M;Din Ogradă;10;buc;ouă;2025-05-25;2025-05-31;6
P027;banane;Generic;1;kg;legume și fructe;2025-05-22;2025-05-28;7
